Date,Open,High,Low,Close,Volume,Adj Close
2016-03-15,107.410004,107.419998,106.449997,107.220001,404400,107.220001
2016-03-14,109.25,109.489998,108.809998,108.949997,251500,108.949997
2016-03-11,108.660004,109.279999,108.540001,109.260002,216700,109.260002
2016-03-10,108.760002,108.980003,106.160004,107.080002,644900,107.080002
2016-03-09,106.860001,106.910004,105.800003,106.25,201900,106.25
2016-03-08,106.519997,106.699997,105.620003,105.82,459500,105.82
2016-03-07,107.230003,108.550003,107.07,107.910004,745300,107.910004
2016-03-04,109.559998,110.290001,109.00,109.550003,204700,109.550003
2016-03-03,107.690002,108.57,107.639999,108.57,289300,108.57
2016-03-02,106.849998,107.300003,106.519997,106.989998,275700,106.989998
2016-03-01,105.300003,106.650002,104.889999,106.410004,344700,106.410004
2016-02-29,105.099998,105.279999,104.099998,104.099998,423600,104.099998
2016-02-26,105.00,106.080002,104.629997,105.139999,492600,105.139999
2016-02-25,104.589996,105.589996,104.459999,105.57,849000,105.57
2016-02-24,105.07,105.220001,102.849998,104.589996,628600,104.589996
2016-02-23,106.550003,106.669998,105.529999,105.620003,161700,105.620003
2016-02-22,106.07,106.900002,106.059998,106.690002,297400,106.690002
2016-02-19,105.68,105.849998,104.800003,105.309998,723200,105.309998
2016-02-18,108.580002,108.949997,107.220001,107.449997,224700,107.449997
2016-02-17,107.690002,108.449997,107.599998,108.129997,696500,108.129997
2016-02-16,108.050003,108.589996,107.449997,108.209999,476700,108.209999
2016-02-12,103.169998,105.370003,102.540001,105.260002,668300,105.260002
2016-02-11,105.290001,105.779999,104.169998,105.080002,545900,105.080002
2016-02-10,108.620003,109.470001,106.639999,106.769997,414100,106.769997
2016-02-09,105.989998,107.57,105.580002,106.839996,498800,106.839996
2016-02-08,109.739998,109.809998,107.970001,109.129997,687700,109.129997
2016-02-05,112.239998,112.519997,109.00,110.389999,851100,110.389999
2016-02-04,114.989998,114.989998,112.730003,114.290001,560900,114.290001
2016-02-03,116.480003,116.75,113.389999,114.989998,622600,114.989998
2016-02-02,120.150002,120.150002,118.50,119.00,353400,119.00
2016-02-01,120.00,120.769997,119.160004,120.400002,416700,120.400002
2016-01-29,118.75,120.029999,118.010002,120.029999,746000,120.029999
2016-01-28,116.68,116.68,114.93,116.120003,313700,116.120003
2016-01-27,116.00,117.089996,114.800003,115.32,320900,115.32
2016-01-26,113.300003,114.379997,113.18,114.349998,267500,114.349998
2016-01-25,114.370003,114.589996,113.209999,113.410004,248600,113.410004
2016-01-22,115.110001,116.040001,114.82,115.949997,595500,115.949997
2016-01-21,110.360001,112.050003,109.470001,111.099998,285300,111.099998
2016-01-20,112.300003,112.43,108.940002,111.510002,1000200,111.510002
2016-01-19,116.010002,116.099998,113.870003,115.019997,485500,115.019997
2016-01-15,114.059998,114.169998,111.889999,112.599998,637000,112.599998
2016-01-14,115.370003,116.629997,114.209999,116.290001,354100,116.290001
2016-01-13,117.199997,117.360001,114.540001,114.989998,345800,114.989998
2016-01-12,116.650002,116.720001,114.470001,115.830002,341200,115.830002
2016-01-11,114.260002,114.879997,113.459999,114.809998,511500,114.809998
2016-01-08,116.32,116.68,112.919998,113.059998,635800,113.059998
2016-01-07,116.080002,116.639999,115.459999,115.57,407500,115.57
2016-01-06,118.57,118.800003,117.760002,118.379997,277600,118.379997
2016-01-05,121.540001,121.540001,120.160004,121.139999,306400,121.139999
2016-01-04,121.519997,122.260002,120.169998,121.459999,413500,121.459999
2015-12-31,123.349998,124.330002,122.650002,123.040001,221000,123.040001
2015-12-30,124.400002,124.43,123.110001,123.220001,334100,123.220001
2015-12-29,124.089996,125.080002,124.089996,124.760002,160400,124.760002
2015-12-28,124.43,124.849998,124.230003,124.470001,283800,124.470001
2015-12-24,125.400002,126.110001,125.400002,125.769997,102300,125.769997
2015-12-23,126.660004,127.279999,126.230003,127.150002,298400,127.150002
2015-12-22,125.480003,126.00,124.800003,125.580002,332800,125.580002
2015-12-21,124.75,125.389999,123.650002,124.650002,274100,124.650002
2015-12-18,124.830002,125.00,123.949997,124.389999,359000,124.389999
2015-12-17,126.349998,126.629997,124.709999,124.800003,352800,124.800003
2015-12-16,125.059998,126.889999,124.849998,126.660004,493100,126.660004
2015-12-15,122.57,122.970001,122.120003,122.169998,235400,122.169998
2015-12-14,123.589996,123.879997,121.669998,122.50,414400,122.50
2015-12-11,124.040001,124.220001,122.910004,123.669998,463000,123.669998
2015-12-10,125.00,125.400002,124.599998,124.889999,255600,124.889999
2015-12-09,124.099998,124.730003,123.050003,123.900002,340900,123.900002
2015-12-08,123.099998,123.099998,121.959999,122.519997,516000,122.519997
2015-12-07,125.489998,125.599998,124.510002,125.150002,161000,125.150002
2015-12-04,124.580002,125.900002,124.580002,125.900002,279900,125.900002
2015-12-03,126.629997,126.650002,124.529999,124.720001,601400,124.720001
2015-12-02,126.809998,127.050003,125.470001,125.739998,252600,125.739998
2015-12-01,125.75,126.379997,125.550003,125.919998,201100,125.919998
2015-11-30,124.800003,124.839996,124.199997,124.419998,189700,124.419998
2015-11-27,124.480003,124.739998,124.260002,124.370003,63900,124.370003
2015-11-25,124.019997,124.019997,123.610001,123.860001,110500,123.860001
2015-11-24,123.809998,124.190002,123.239998,124.019997,242600,124.019997
2015-11-23,123.599998,123.889999,122.660004,123.120003,175700,123.120003
2015-11-20,124.029999,124.139999,123.349998,123.669998,158700,123.669998
2015-11-19,123.860001,124.470001,123.760002,123.889999,213000,123.889999
2015-11-18,123.610001,124.949997,123.379997,124.910004,217500,124.910004
2015-11-17,122.790001,123.68,122.550003,123.150002,225000,123.150002
2015-11-16,121.00,122.089996,120.989998,122.040001,183900,122.040001
2015-11-13,122.139999,122.489998,121.199997,121.269997,289500,121.269997
2015-11-12,122.889999,122.889999,121.510002,121.730003,282000,121.730003
2015-11-11,124.040001,124.040001,123.230003,123.230003,146800,123.230003
2015-11-10,123.199997,123.730003,123.080002,123.589996,202700,123.589996
2015-11-09,122.919998,122.989998,121.709999,122.220001,189000,122.220001
2015-11-06,123.169998,123.190002,122.290001,122.919998,277500,122.919998
2015-11-05,124.650002,125.190002,124.599998,124.860001,319600,124.860001
2015-11-04,123.480003,123.889999,123.07,123.559998,302200,123.559998
2015-11-03,123.349998,123.519997,122.860001,123.389999,569600,123.389999
2015-11-02,123.18,123.510002,122.860001,123.300003,573400,123.300003
2015-10-30,123.220001,123.559998,122.589996,122.620003,196600,122.620003
2015-10-29,123.330002,123.410004,122.459999,123.239998,267800,123.239998
2015-10-28,125.330002,126.449997,124.93,126.360001,193100,126.360001
2015-10-27,124.889999,125.199997,124.519997,124.830002,206000,124.830002
2015-10-26,125.660004,125.839996,125.00,125.330002,218500,125.330002
2015-10-23,125.400002,125.959999,125.00,125.739998,215200,125.739998
2015-10-22,124.730003,125.580002,124.449997,125.230003,271200,125.230003
2015-10-21,124.040001,124.849998,123.599998,123.699997,162900,123.699997
2015-10-20,122.68,122.900002,122.160004,122.209999,244100,122.209999
2015-10-19,123.349998,123.57,122.82,123.550003,164700,123.550003
2015-10-16,123.639999,124.150002,123.220001,123.959999,265200,123.959999
2015-10-15,121.739998,122.550003,121.25,122.440002,263300,122.440002
2015-10-14,121.00,121.309998,119.900002,120.050003,187400,120.050003
2015-10-13,121.489998,121.949997,120.860001,121.07,341400,121.07
2015-10-12,122.75,123.440002,122.589996,123.110001,314500,123.110001
2015-10-09,123.980003,124.589996,122.330002,122.599998,398800,122.599998
2015-10-08,122.779999,123.709999,122.110001,123.480003,254200,123.480003
2015-10-07,122.540001,123.190002,122.190002,122.709999,240700,122.709999
2015-10-06,120.919998,121.260002,120.370003,120.919998,350100,120.919998
2015-10-05,121.790001,122.910004,121.760002,122.32,338300,122.32
2015-10-02,119.309998,120.82,118.580002,120.730003,557000,120.730003
2015-10-01,118.489998,118.870003,117.230003,118.339996,278000,118.339996
2015-09-30,116.239998,117.400002,116.099998,117.279999,235100,117.279999
2015-09-29,113.980003,114.480003,113.160004,114.25,345800,114.25
2015-09-28,117.559998,117.57,114.730003,115.220001,311700,115.220001
2015-09-25,119.279999,119.989998,118.160004,118.510002,292400,118.510002
2015-09-24,117.519997,117.739998,116.00,117.550003,535800,117.550003
2015-09-23,117.309998,117.739998,116.610001,117.510002,231300,117.510002
2015-09-22,117.68,117.879997,116.010002,117.580002,372700,117.580002
2015-09-21,119.589996,120.019997,118.690002,119.43,173800,119.43
2015-09-18,119.370003,120.110001,118.709999,118.82,250300,118.82
2015-09-17,121.029999,122.82,120.870003,121.239998,243300,121.239998
2015-09-16,121.809998,122.330002,121.540001,122.00,439600,122.00
2015-09-15,119.059998,120.129997,118.690002,119.959999,442200,119.959999
2015-09-14,116.730003,117.059998,116.00,116.349998,351200,116.349998
2015-09-11,116.489998,117.099998,115.889999,117.099998,531200,117.099998
2015-09-10,118.959999,118.959999,117.400002,117.940002,2073300,117.940002
2015-09-09,123.260002,123.410004,120.440002,120.620003,1331300,120.620003
2015-09-08,120.199997,121.339996,120.129997,121.239998,398400,121.239998
2015-09-04,116.68,116.900002,115.839996,116.50,262200,116.50
2015-09-03,120.190002,120.440002,119.339996,119.610001,352100,119.610001
2015-09-02,117.25,117.690002,116.209999,117.620003,266100,117.620003
2015-09-01,115.580002,115.93,114.080002,114.339996,426000,114.339996
2015-08-31,119.129997,119.260002,118.190002,118.379997,243000,118.379997
2015-08-28,121.019997,121.610001,120.330002,120.769997,285800,120.769997
2015-08-27,118.669998,119.879997,118.32,119.57,399600,119.57
2015-08-26,116.800003,117.949997,115.059998,117.839996,395600,117.839996
2015-08-25,117.709999,117.709999,113.370003,113.370003,576800,113.370003
2015-08-24,110.230003,116.050003,109.07,113.519997,1009000,113.519997
2015-08-21,122.099998,122.459999,118.910004,119.050003,504600,119.050003
2015-08-20,124.540001,124.540001,122.449997,122.50,536700,122.50
2015-08-19,126.389999,127.010002,125.669998,126.040001,286500,126.040001
2015-08-18,127.610001,128.070007,127.440002,127.870003,185400,127.870003
2015-08-17,127.50,127.989998,127.099998,127.870003,155700,127.870003
2015-08-14,127.790001,128.240005,127.580002,128.190002,130600,128.190002
2015-08-13,127.150002,128.149994,126.860001,127.790001,188700,127.790001
2015-08-12,127.290001,127.690002,126.029999,127.419998,768000,127.419998
2015-08-11,129.649994,129.649994,128.690002,129.009995,236100,129.009995
2015-08-10,130.50,131.429993,130.070007,131.089996,300900,131.089996
2015-08-07,129.860001,130.00,129.520004,129.949997,163900,129.949997
